	origin	hypocotyl_color_18_indiv	SeedToBloom_18_indiv	SeedToBegMat_18_indiv	SeedToFullMat_18_indiv	plant_height_18_indiv	habitus_18_indiv	pod_length_18_indiv	pod_per_plant_18_indiv	seeds_per_plant_18_indiv	mass_100_seeds_18_indiv	productivity_18_indiv	seed_mass_per_plot_18_indiv	yield_18_indiv	hypocotyl_color_18_aver	SeedToBloom_18_aver	SeedToBegMat_18_aver	SeedToFullMat_18_aver	plant_height_18_aver	habitus_18_aver	pod_length_18_aver	pod_per_plant_18_aver	seeds_per_plant_18_aver	mass_100_seeds_18_aver	productivity_18_aver	seed_mass_per_plot_18_aver	yield_18_aver	hypocotyl_color_20_aver	SeedToBloom_20_aver	SeedToBegMat_20_aver	SeedToFullMat_20_aver	plant_height_20_aver	habitusInFlow_20_aver	habitusInMatur_20_aver	pod_length_20_aver	pod_per_plant_20_aver	seeds_per_plant_20_aver	mass_100_seeds_20_aver	productivity_20_aver	seed_mass_per_plot_20_aver	plant_square_20_aver	plot_square_20_aver	yield_20_aver	Longitude	Latitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	altitude
acc1677020	Uzbekistan	1	75	95	105	70	1	6.5	42	288	3.81	0.01	0.11	0.04	1	75	95	105	70	1	6.5	42	288	3.81	0.01	0.11	0.04	1	67	87	94	95	0.5	0.5	6.4	192	1156	2.24	28	184	0.42	4.2	0.042	64.4556	39.7681	151	133	33	9647	365	-37	402	44	273	273	25	157	33	0	79	78	1	1	65	229
acc1677021	Afghanistan	1	87	105	110	70	1	6	3	30	3.33	0	0.01	0	1	87	105	110	70	1	6	3	30	3.33	0	0.01	0	1	77	103	110	105	0.5	0	6.2	87	558	3.76	23	110	0.42	4.2	0.026	61.7006	34.1769	131	154	39	8340	331	-57	388	41	239	239	23	255	52	0	96	153	0	0	137	1529
acc1677022	Afghanistan	1	87	105	110	80	1	6	2	20	5	0	0.01	0	1	87	105	110	80	1	6	2	20	5	0	0.01	0	1	81	105	110	79	0.5	0.5	5.8	95	218	4.27	14	49	0.42	4.2	0.011	61.7006	34.1769	131	154	39	8340	331	-57	388	41	239	239	23	255	52	0	96	153	0	0	137	1529
acc1677023	Afghanistan	1	82	105	112	70	1	5.5	25	220	3.58	0.01	0.08	0.03	1	82	105	112	70	1	5.5	25	220	3.58	0.01	0.08	0.03	1	73	91	100	120	0.5	0.75	6.5	121	902	3.76	36	179	0.42	4.2	0.042	61.7006	34.1769	131	154	39	8340	331	-57	388	41	239	239	23	255	52	0	96	153	0	0	137	1529
acc1677024	Afghanistan	1	86	106	115	150	0	6.5	38	360	4.14	0.02	0.15	0.05	1	86	106	115	150	0	6.5	38	360	4.14	0.02	0.15	0.05	1	73	91	100	160	0.5	0	6.4	53	306	4.57	16	88	0.42	4.2	0.02	61.7006	34.1769	131	154	39	8340	331	-57	388	41	239	239	23	255	52	0	96	153	0	0	137	1529
acc1677025	Afghanistan	1	84	110	116	110	0	6.5	40	250	4.8	0.01	0.12	0.04	1	84	110	116	110	0	6.5	40	250	4.8	0.01	0.12	0.04	1	70	90	99	138	0.5	0	5.8	10	76	3.55	4	69	0.84	4.2	0.016	61.7006	34.1769	131	154	39	8340	331	-57	388	41	239	239	23	255	52	0	96	153	0	0	137	1529
acc1677026	Afghanistan	1	86	112	122	120	0.5	7	50	345	5.45	0.02	0.19	0.07	1	86	112	122	120	0.5	7	50	345	5.45	0.02	0.19	0.07	1	84	105	114	135	0	0	6	13	39	3.98	3	79	0.42	4.2	0.018	66.9293	36.6153	171	134	33	9596	384	-20	404	68	297	297	48	183	44	0	92	107	0	0	85	427
acc1677027	Afghanistan	1	92	115	122	70	1	6	18	160	3.75	0.01	0.08	0.03	1	92	115	122	70	1	6	18	160	3.75	0.01	0.08	0.03	1	76	90	99	115	0.5	0.5	6.9	61	454	3.96	20	137	0.42	4.2	0.032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677028	Afghanistan	1	84	110	116	80	0.5	6	12	92	4.28	0	0.04	0	1	84	110	116	80	0.5	6	12	92	4.28	0	0.04	0	1	76	90	99	88	0.5	0.5	5.2	17	76	4.3	5	130	0.42	4.2	0.03	67.71	33.9391	-18	133	32	8961	178	-233	411	-79	82	91	-142	484	96	2	79	263	11	17	186	3868
acc1677029	Uzbekistan	0	71	90	100	80	0.5	6	15	115	4.33	0.01	0.05	0	0	71	90	100	80	0.5	6	15	115	4.33	0.01	0.05	0	1	74	88	96	84	0.5	0.5	6.6	6	43	2.56	2	122	0.42	4.2	0.029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677030	Japan	1	57	73	87	120	0.5	8	155	1320	4.3	0.06	0.57	0.2	1	57	73	87	120	0.5	8	155	1320	4.3	0.06	0.57	0.2	1	49	73	85	76	0.5	0.5	7.6	345	1430	4.61	68	434	0.42	4.2	0.103	139.7456	35.719	154	80	26	7513	306	5	301	224	59	251	59	1436	188	46	41	512	155	475	155	28
acc1677031	Japan	1	70	82	90	80	0.5	8	70	640	4.34	0.03	0.28	0.1	1	70	82	90	80	0.5	8	70	640	4.34	0.03	0.28	0.1	1	49	77	85	82	0.5	0.5	6.4	304	1245	3.29	43	323	0.84	4.2	0.076	139.7456	35.719	154	80	26	7513	306	5	301	224	59	251	59	1436	188	46	41	512	155	475	155	28
acc1677032	Armenia	1	57	84	92	70	0.5	6.5	33	260	4.82	0.01	0.13	0.05	1	57	84	92	70	0.5	6.5	33	260	4.82	0.01	0.13	0.05	1	76	99	109	72	0.5	0.5	5.7	2	12	2.53	2	38	0.42	4.2	0.009	45.0382	40.0691	14	112	33	7671	191	-144	335	41	-85	110	-85	543	93	24	43	227	79	110	79	2825
acc1677034	Iran	1	59	82	92	80	0.5	8	15	100	5.97	0.01	0.06	0.02	1	59	82	92	80	0.5	8	15	100	5.97	0.01	0.06	0.02	1	67	89	96	120	0	0.75	8	125	650	4.76	33	155	0.42	4.2	0.036	49.8671	40.4093	150	68	23	7944	305	15	290	123	251	251	49	256	34	8	35	91	31	31	66	18
acc1677035	Azerbaijan	1	64	84	92	70	0.5	8	30	300	5	0.02	0.15	0.05	1	64	84	92	70	0.5	8	30	300	5	0.02	0.15	0.05	1	69	90	100	62	0.5	0.5	6.9	18	78	2.98	5	38	0.42	4.2	0.009	47.5769	40.1431	142	98	29	8222	317	-12	329	127	240	245	36	370	47	13	33	123	53	63	90	-2
acc1677036	Azerbaijan	1	60	70	82	70	1	6.5	83	607	4.44	0.03	0.27	0.1	1	60	70	82	70	1	6.5	83	607	4.44	0.03	0.27	0.1	1	49	77	90	89	0.5	0.5	7.8	123	514	4.28	22	238	0.42	4.2	0.056	63.5688	39.0041	153	144	36	9190	367	-29	396	104	269	269	33	138	30	0	85	72	0	0	59	188
acc1677033	Turkmenistan	1	82	102	112	90	0.5	6	38	370	4.05	0.02	0.15	0.05	1	82	102	112	90	0.5	6	38	370	4.05	0.02	0.15	0.05	1	64	87	100	110	1	0.5	6.2	56	298	3.5	11	118	0.42	4.2	0.028	59.1042	35.102	156	150	39	8423	349	-32	381	102	252	263	46	209	43	0	88	111	0	1	94	1147
acc1677037	Panama	1	50	70	80	80	0.5	8	93	890	4.26	0.04	0.38	0.14	1	50	70	80	80	0.5	8	93	890	4.26	0.04	0.38	0.14	1	48	68	79	75	1	1	7	18	105	4.55	6	214	0.42	4.2	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677038	Panama	1	60	80	90	100	0.5	8	150	1350	4.64	0.06	0.63	0.23	1	60	80	90	100	0.5	8	150	1350	4.64	0.06	0.63	0.23	1	50	71	88	66	0.5	0.5	7	85	314	4.45	16	127	1.4	4.2	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677040	Cyprus	1	66	99	100	80	1	8	50	480	6.19	0.03	0.3	0.11	1	66	99	100	80	1	8	50	480	6.19	0.03	0.3	0.11	1	67	87	97	100	0.5	0	8.8	68	207	6.72	15	163	0.42	4.2	0.038	33.3823	35.1856	189	131	43	6367	355	52	303	110	269	269	110	335	74	1	82	181	7	7	181	134
acc1677041	Morocco	1	60	82	92	110	1	7.5	33	245	6.07	0.02	0.15	0.05	1	60	82	92	110	1	7.5	33	245	6.07	0.02	0.15	0.05	1	60	79	89	105	1	1	7.2	94	591	4.9	31	180	0.42	4.2	0.042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677042	Palestine	1	58	84	92	80	0.5	7.5	70	525	4.57	0.02	0.24	0.09	1	58	84	92	80	0.5	7.5	70	525	4.57	0.02	0.24	0.09	1	50	89	100	84	0.5	0.5	6.8	22	171	4.88	10	146	0.42	4.2	0.034	35.4973	32.4971	218	124	45	5979	358	85	273	140	286	288	140	344	85	0	106	223	0	1	223	-119
acc1677043	Java	1	50	72	82	90	0.5	8	75	775	3.72	0.03	0.29	0.1	1	50	72	82	90	0.5	8	75	775	3.72	0.03	0.29	0.1	1	48	73	91	73	0.5	0.5	6.8	42	72	4.53	4	104	0.42	4.2	0.024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677044	Russia	1	48	66	76	100	0.5	7.5	71	520	4.03	0.02	0.21	0.08	1	48	66	76	100	0.5	7.5	71	520	4.03	0.02	0.21	0.08	1	52	79	91	68	1	0.5	5.2	6	25	4.67	3	104	0.42	4.2	0.024	131.8351	44.9003	37	114	24	12922	256	-214	470	191	-141	191	-141	595	121	7	77	316	30	316	30	317
acc1677045	Chile	1	92	112	122	100	0.5	7	50	322	5.27	0.02	0.17	0.06	1	92	112	122	100	0.5	7	50	322	5.27	0.02	0.17	0.06	1	83	100	110	88	0.5	0.5	6.7	5	22	2.44	2	49	0.42	4.2	0.011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677046	India	1	65	85	95	120	0.5	7.5	70	630	3.01	0.02	0.19	0.07	1	65	85	95	120	0.5	7.5	70	630	3.01	0.02	0.19	0.07	1	68	85	100	86	1	0.5	7.2	5	20	3.47	2	119	0.42	4.2	0.028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677047	India	1	60	71	80	80	1	9	30	450	4.19	0.02	0.19	0.07	1	60	71	80	80	1	9	30	450	4.19	0.02	0.19	0.07	1	68	90	98	94	1	1	8.6	87	550	4.36	26	83	1.4	4.2	0.019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677048	India	1	50	66	72	55	1	6	125	1200	2.08	0.03	0.25	0.09	1	50	66	72	55	1	6	125	1200	2.08	0.03	0.25	0.09	0	44	65	75	68	1	1	7.2	44	142	2.1	5	158	0.42	4.2	0.037	85.6486	25.9821	254	110	40	5005	372	101	271	291	188	304	178	1089	301	2	118	769	23	486	27	52
acc1677049	Italy	1	50	66	77	75	1	7.5	30	192	5.72	0.01	0.11	0.04	1	50	66	77	75	1	7.5	30	192	5.72	0.01	0.11	0.04	0	52	72	96	68	1	1	6.8	44	147	5.67	9	100	0.42	4.2	0.023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677050	Portugal	1	50	65	75	75	1	7	33	350	3.11	0.01	0.11	0.04	1	50	65	75	75	1	7	33	350	3.11	0.01	0.11	0.04	1	66	88	99	65	1	0.5	7.8	218	1482	3.57	55	235	0.42	4.2	0.055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677051	Portugal	1	53	70	78	75	0.5	7.5	115	745	4.71	0.04	0.35	0.13	1	53	70	78	75	0.5	7.5	115	745	4.71	0.04	0.35	0.13	1	70	90	98	52	1	1	7.2	134	952	4.93	49	173	0.42	4.2	0.041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677052	Russia	1	60	77	86	90	0.5	12	28	265	7.92	0.02	0.21	0.08	1	60	77	86	90	0.5	12	28	265	7.92	0.02	0.21	0.08	1	70	90	98	120	0.5	0	10.5	35	211	6.7	17	157	0.42	4.2	0.037	39.0978	45.0347	115	82	26	8427	280	-35	315	28	54	223	8	708	80	46	19	214	148	186	192	34
acc1677053	Tajikistan	1	58	112	122	110	0.5	5	39	241	4.14	0.01	0.1	0.04	1	58	112	122	110	0.5	5	39	241	4.14	0.01	0.1	0.04	1	76	94	108	84	0.5	0.5	6.6	6	38	3.21	3	130	0.42	4.2	0.03	69.6453	40.2675	148	120	30	9770	361	-32	393	95	254	271	19	220	36	1	61	91	7	10	76	364
acc1677054	India	1	62	85	95	100	0.5	6.5	35	288	3.81	0.01	0.11	0.04	1	62	85	95	100	0.5	6.5	35	288	3.81	0.01	0.11	0.04	1	64	91	100	100	0.5	0.5	6	3	19	3.17	2	62	0.42	4.2	0.014	74.3587	31.5204	240	135	38	7341	405	52	353	305	192	320	136	603	189	4	115	426	28	242	57	218
acc1677055	India	1	58	80	90	80	0.5	7	100	1380	3.03	0.04	0.42	0.15	1	58	80	90	80	0.5	7	100	1380	3.03	0.04	0.42	0.15	1	56	87	97	88	1	0.5	5.8	42	231	3.03	9	203	0.42	4.2	0.048	74.3587	31.5204	240	135	38	7341	405	52	353	305	192	320	136	603	189	4	115	426	28	242	57	218
acc1677057	Russia	1	70	85	96	80	1	7.7	89	863	3.7	0.03	NA	NA	1	70	85	96	80	1	7.7	89	863	3.7	0.03	NA	NA	1	77	100	110	74	0.5	0.5	6.4	47	295	4.74	16	131	0.42	4.2	0.031	127.9945	49.6152	4	130	23	15618	266	-299	565	192	-210	192	-210	572	138	5	97	355	18	355	18	116
acc1677056	Russia	1	74	87	97	105	0.5	7.5	65	524	4.19	0.02	0.22	0.08	1	74	87	97	105	0.5	7.5	65	524	4.19	0.02	0.22	0.08	1	77	100	110	74	0.5	0.5	6.4	47	295	4.74	16	131	0.42	4.2	0.031	127.9945	49.6152	4	130	23	15618	266	-299	565	192	-210	192	-210	572	138	5	97	355	18	355	18	116
acc1677058	Russia	1	50	70	77	75	1	8	88	650	4.12	0.03	0.27	0.1	1	50	70	77	75	1	8	88	650	4.12	0.03	0.27	0.1	1	46	67	77	74	1	1	7	95	631	3.8	26	258	0.42	4.2	0.061	131.3273	44.0281	50	114	25	12291	263	-191	454	196	-119	196	-119	585	125	6	78	307	27	307	27	99
acc1677059	Russia	1	68	100	112	100	0	10.5	60	550	5.04	0.03	0.28	0.1	1	68	100	112	100	0	10.5	60	550	5.04	0.03	0.28	0.1	1	67	91	100	90	0.5	0	7.2	157	537	5.4	31	116	0.42	4.2	0.027	131.3835	44.0118	51	113	25	12219	263	-188	451	197	-117	197	-117	590	123	6	76	304	28	304	28	72
acc1677060	Russia	1	50	66	78	80	0.5	7.5	86	490	4.29	0.02	0.21	0.08	1	50	66	78	80	0.5	7.5	86	490	4.29	0.02	0.21	0.08	1	51	74	91	105	0.5	0	7.2	196	911	4.93	47	297	0.42	4.2	0.07	132.558	44.39	47	101	22	12317	255	-193	448	189	-124	192	-124	649	118	10	66	311	44	298	44	71
acc1677061	Argentina	0	63	86	96	100	1	10	10	70	5.71	0.01	0.05	0.017	0	63	86	96	100	1	10	10	70	5.71	0.01	0.05	0.017	0	64	81	89	88	1	1	10.1	21	63	4.06	5	41	0.42	4.2	0.009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677062	Japan	1	60	82	92	81	0.5	7	74	440	4.31	0.02	0.19	0.067	1	60	82	92	81	0.5	7	74	440	4.31	0.02	0.19	0.067	1	63	87	96	98	0.5	0	7.5	227	1252	4.23	55	308	0.42	4.2	0.073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677063	Kyrgyzstan	1	72	92	98	70	0.5	6	7	136	4.41	0.01	0.07	0.05	1	72	92	98	70	0.5	6	7	136	4.41	0.01	0.07	0.05	1	77	91	105	90	0.5	0	6.2	126	708	4.09	31	135	0.42	4.2	0.032	65.3054	55.4649	13	86	18	13168	242	-213	455	173	-144	173	-162	384	60	13	46	165	46	165	55	68
acc1677064	Arabia	1	83	100	105	70	1	6	5	45	4.2	0	0.03	0.01	1	83	100	105	70	1	6	5	45	4.2	0	0.03	0.01	1	84	99	110	100	0.5	0.5	7.2	3	17	3.5	2	26	0.42	4.2	0.006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677065	China	1	83	100	105	100	0.5	7	23	207	3.86	0.01	0.08	0.03	1	83	100	105	100	0.5	7	23	207	3.86	0.01	0.08	0.03	1	65	89	97	112	0.5	0	6.8	100	584	5.65	35	276	0.42	4.2	0.065	87.5396	42.5246	30	127	29	10605	234	-191	425	159	-113	159	-113	180	40	1	89	109	4	109	4	2280
acc1677066	China	1	59	80	92	100	0.5	8	74	540	5.18	0.03	0.28	0.1	1	59	80	92	100	0.5	8	74	540	5.18	0.03	0.28	0.1	1	50	73	89	101	0.5	0.5	8.4	253	1666	4.68	80	393	0.42	4.2	0.093	87.5396	42.5246	30	127	29	10605	234	-191	425	159	-113	159	-113	180	40	1	89	109	4	109	4	2280
acc1677067	China	1	77	100	108	110	0.5	7.5	74	620	4.51	0.03	0.28	0.1	1	77	100	108	110	0.5	7.5	74	620	4.51	0.03	0.28	0.1	1	71	90	104	106	1	0.5	6.1	26	164	3.76	8	128	0.42	4.2	0.03	87.5396	42.5246	30	127	29	10605	234	-191	425	159	-113	159	-113	180	40	1	89	109	4	109	4	2280
acc1677068	Congo	1	49	65	73	90	0.5	7.5	122	907	3.3	0.03	0.15	0.11	1	49	65	73	90	0.5	7.5	122	907	3.3	0.03	0.15	0.11	1	49	66	74	64	1	1	6.9	144	1155	3.72	45	239	0.42	4.2	0.056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677069	Congo	1	49	65	73	80	0.5	8	65	534	3.37	0.02	0.09	0.06	1	49	65	73	80	0.5	8	65	534	3.37	0.02	0.09	0.06	1	49	66	74	64	1	1	6.9	144	1155	3.72	45	239	0.42	4.2	0.056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677070	Korea	1	44	70	80	120	0.5	8	56	455	4.37	0.02	0.2	0.07	1	44	70	80	120	0.5	8	56	455	4.37	0.02	0.2	0.07	1	47	73	89	82	1	0.5	8.5	131	845	3.55	32	121	0.42	4.2	0.028	126.978	37.5665	119	92	24	10062	298	-79	377	239	-16	243	-16	1374	383	21	95	827	71	819	71	57
acc1677071	Korea	1	64	100	108	90	0.5	7.5	42	212	6.48	0.01	0.14	0.05	1	64	100	108	90	0.5	7.5	42	212	6.48	0.01	0.14	0.05	1	67	100	110	93	1	0.5	8.2	110	440	5	24	145	0.42	4.2	0.034	126.978	37.5665	119	92	24	10062	298	-79	377	239	-16	243	-16	1374	383	21	95	827	71	819	71	57
acc1677072	Korea	1	70	86	100	80	1	8	15	110	5.45	0.01	0.06	0.021	1	70	86	100	80	1	8	15	110	5.45	0.01	0.06	0.021	1	52	74	91	125	0.5	0.75	8.4	93	870	4.59	42	149	0.42	4.2	0.035	126.978	37.5665	119	92	24	10062	298	-79	377	239	-16	243	-16	1374	383	21	95	827	71	819	71	57
acc1677073	Korea	1	63	97	108	110	0.5	10	44	440	4.97	0.022	0.22	0.08	1	63	97	108	110	0.5	10	44	440	4.97	0.022	0.22	0.08	1	67	89	103	116	0.5	0.5	7.8	114	1008	4.56	48	146	0.42	4.2	0.034	127.5101	40.3399	44	119	27	11059	242	-190	432	179	-108	179	-108	929	226	15	92	554	48	554	48	723
acc1677074	Korea	1	60	87	107	112	0.5	7	28	208	4.8	0.01	0.1	0.04	1	60	87	107	112	0.5	7	28	208	4.8	0.01	0.1	0.04	1	77	100	110	140	0.5	0	7.2	99	722	3.87	30	164	0.42	4.2	0.039	127.5101	40.3399	44	119	27	11059	242	-190	432	179	-108	179	-108	929	226	15	92	554	48	554	48	723
acc1677075	Korea	1	57	87	100	90	0.5	7.5	27	185	4.86	0.01	0.09	0.03	1	57	87	100	90	0.5	7.5	27	185	4.86	0.01	0.09	0.03	1	61	89	100	125	0.5	0	8.6	103	666	4.8	34	300	0.42	4.2	0.071	127.5101	40.3399	44	119	27	11059	242	-190	432	179	-108	179	-108	929	226	15	92	554	48	554	48	723
acc1677076	Korea	0	57	87	100	130	0.5	9	60	610	4.26	0.03	0.26	0.09	0	57	87	100	130	0.5	9	60	610	4.26	0.03	0.26	0.09	1	58	87	100	115	1	0.5	7.9	103	704	4.4	33	166	0.84	4.2	0.039	127.5101	40.3399	44	119	27	11059	242	-190	432	179	-108	179	-108	929	226	15	92	554	48	554	48	723
acc1677077	Korea	1	60	85	105	80	1	7.5	45	410	4.61	0.02	0.19	0.07	1	60	85	105	80	1	7.5	45	410	4.61	0.02	0.19	0.07	1	50	79	89	108	1	0.5	7.6	109	783	5.49	45	423	0.42	4.2	0.1	127.5101	40.3399	44	119	27	11059	242	-190	432	179	-108	179	-108	929	226	15	92	554	48	554	48	723
acc1677078	China	1	85	103	110	150	0	7.5	47	440	4.96	0.02	0.22	0.08	1	85	103	110	150	0	7.5	47	440	4.96	0.02	0.22	0.08	1	77	91	100	62	1	1	5.8	15	73	4.68	5	86	0.42	4.2	0.02	87.5396	42.5246	30	127	29	10605	234	-191	425	159	-113	159	-113	180	40	1	89	109	4	109	4	2280
acc1677079	China	1	85	103	110	100	1	5	35	250	4.74	0.01	0.13	0.05	1	85	103	110	100	1	5	35	250	4.74	0.01	0.13	0.05	1	73	91	100	84	1	0.5	6.4	46	338	3.84	15	158	0.42	4.2	0.037	75.9938	39.4677	121	128	29	10682	324	-109	433	230	47	245	-30	68	11	2	40	25	8	22	11	1286
acc1677080	Uzbekistan	1	63	85	100	70	1	6.5	15	120	4.16	0.01	0.07	0.03	1	63	85	100	70	1	6.5	15	120	4.16	0.01	0.07	0.03	1	67	89	100	80	1	0.5	7.4	37	261	4.98	15	262	0.42	4.2	0.062	69.2401	41.2995	147	130	33	9071	360	-29	389	94	248	264	28	422	73	2	66	184	11	18	158	442
acc1677081	China	1	82	103	110	70	1	5.5	25	180	4.97	0.01	0.09	0.03	1	82	103	110	70	1	5.5	25	180	4.97	0.01	0.09	0.03	1	69	91	100	80	1	0.5	6	58	344	4.65	18	99	0.42	4.2	0.0233	87.5396	42.5246	30	127	29	10605	234	-191	425	159	-113	159	-113	180	40	1	89	109	4	109	4	2280
acc1677082	China	1	82	103	110	70	1	5.5	25	190	5.26	0.01	0.12	0.04	1	82	103	110	70	1	5.5	25	190	5.26	0.01	0.12	0.04	1	69	89	98	85	1	0.5	5.5	90	512	5.07	28	123	0.42	4.2	0.029	87.6168	43.8256	71	109	22	13347	306	-177	483	163	-112	230	-112	226	31	7	42	87	24	76	24	840
acc1677083	China	1	84	110	120	90	0.5	7.5	66	506	4.15	0.02	0.21	0.08	1	84	110	120	90	0.5	7.5	66	506	4.15	0.02	0.21	0.08	1	69	91	98	77	0.5	0.5	4.9	95	452	3.76	19	95	0.42	4.2	0.022	87.5396	42.5246	30	127	29	10605	234	-191	425	159	-113	159	-113	180	40	1	89	109	4	109	4	2280
acc1677084	Ukraine	1	82	105	112	80	1	6	50	365	4.08	0.02	0.15	0.05	1	82	105	112	80	1	6	50	365	4.08	0.02	0.15	0.05	1	67	89	98	88	1	0.5	5.5	60	277	4.39	14	64	0.42	4.2	0.015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677085	Brazil	1	50	67	75	80	1	8	79	704	4.97	0.04	0.35	0.13	1	50	67	75	80	1	8	79	704	4.97	0.04	0.35	0.13	1	46	67	78	85	0.5	0	8.6	66	610	4.91	32	331	0.42	4.2	0.078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677086	Kazakhstan	1	86	109	118	80	1	8	40	325	5.52	0.02	0.18	0.06	1	86	109	118	80	1	8	40	325	5.52	0.02	0.18	0.06	1	77	91	100	68	0.5	0.5	7.7	18	214	3.42	7	72	0.42	4.2	0.017	76.8512	43.222	79	109	26	10580	283	-123	406	148	-61	210	-61	564	94	26	48	245	84	124	84	854
acc1677087	Turkey	1	75	97	108	100	0	7	40	395	4.53	0.02	0.18	0.06	1	75	97	108	100	0	7	40	395	4.53	0.02	0.18	0.06	1	60	80	95	95	1	0.5	7.9	133	640	4.53	31	119	0.42	4.2	0.028	30.4559	39.7646	108	114	35	7359	282	-37	319	11	195	200	11	404	52	10	37	135	43	61	135	799
acc1677088	Turkey	1	80	103	109	80	1	8	40	425	4.92	0.021	0.21	0.08	1	80	103	109	80	1	8	40	425	4.92	0.021	0.21	0.08	1	69	91	100	86	1	0.5	6.9	14	90	4.31	6	103	0.42	4.2	0.024	30.4559	39.7646	108	114	35	7359	282	-37	319	11	195	200	11	404	52	10	37	135	43	61	135	799
acc1677089	Ukraine	1	65	74	84	75	1	7.5	50	378	4.49	0.02	0.17	0.06	1	65	74	84	75	1	7.5	50	378	4.49	0.02	0.17	0.06	1	60	81	91	105	1	0.5	6.4	141	1040	4.23	46	145	0.42	4.2	0.034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677090	Tajikistan	1	73	103	108	110	0.5	7	9	73	4.1	0	0.04	0.01	1	73	103	108	110	0.5	7	9	73	4.1	0	0.04	0.01	1	89	110	129	104	0.5	0.5	5.6	40	193	3.56	8	59	0.42	4.2	0.014	68.787	38.5598	150	128	34	8304	353	-14	367	98	245	258	42	624	130	0	79	314	5	8	222	819
acc1677091	Brazil	0	57	78	86	70	1	8	58	460	3.67	0.02	0.17	0.06	0	57	78	86	70	1	8	58	460	3.67	0.02	0.17	0.06	0	79	110	129	98	1	1	7.8	27	125	2.81	5	42	0.85	4.2	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677092	England	0	50	71	78	80	0.5	8	88	628	5.12	0.03	0.32	0.14	0	50	71	78	80	0.5	8	88	628	5.12	0.03	0.32	0.14	1	66	90	99	75	1	0.5	8.7	8	60	4.18	5	164	0.42	4.2	0.039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677093	India	0	84	103	113	70	1	6	66	556	4.67	0.026	0.26	0.092	0	84	103	113	70	1	6	66	556	4.67	0.026	0.26	0.092	0	89	103	110	60	1	0.5	5.4	4	29	2.57	2	22	1.05	4.2	0.005	85.6486	25.9821	254	110	40	5005	372	101	271	291	188	304	178	1089	301	2	118	769	23	486	27	52
