	origin	hypocotyl_color_18_indiv	SeedToBloom_18_indiv	SeedToBegMat_18_indiv	SeedToFullMat_18_indiv	plant_height_18_indiv	habitus_18_indiv	pod_length_18_indiv	pod_per_plant_18_indiv	seeds_per_plant_18_indiv	mass_100_seeds_18_indiv	productivity_18_indiv	seed_mass_per_plot_18_indiv	yield_18_indiv	hypocotyl_color_18_aver	SeedToBloom_18_aver	SeedToBegMat_18_aver	SeedToFullMat_18_aver	plant_height_18_aver	habitus_18_aver	pod_length_18_aver	pod_per_plant_18_aver	seeds_per_plant_18_aver	mass_100_seeds_18_aver	productivity_18_aver	seed_mass_per_plot_18_aver	yield_18_aver	hypocotyl_color_20_aver	SeedToBloom_20_aver	SeedToBegMat_20_aver	SeedToFullMat_20_aver	plant_height_20_aver	habitusInFlow_20_aver	habitusInMatur_20_aver	pod_length_20_aver	pod_per_plant_20_aver	seeds_per_plant_20_aver	mass_100_seeds_20_aver	productivity_20_aver	seed_mass_per_plot_20_aver	plant_square_20_aver	plot_square_20_aver	yield_20_aver	Longitude	Latitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	altitude
acc1677192	Kenya	0	50	70	77	80	1	8	86	676	5.76	0.04	0.39	0.14	0	50	70	77	80	1	8	86	676	5.76	0.04	0.39	0.14	0	48	62	68	59	1	0.5	8.2	66	441	5.66	27	431	0.42	4.2	0.102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677193	Kenya	1	50	70	77	115	1	8	39	271	7.01	0.02	0.19	0.07	1	50	70	77	115	1	8	39	271	7.01	0.02	0.19	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677194	Kenya	1	46	60	67	65	1	7.5	71	580	3.79	0.02	0.22	0.08	1	46	60	67	65	1	7.5	71	580	3.79	0.02	0.22	0.08	1	40	53	63	58	1	1	7.2	95	756	3.57	29	514	0.42	4.2	0.122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677195	Kenya	1	60	74	86	100	1	7.5	40	293	6.48	0.02	0.19	0.07	1	60	74	86	100	1	7.5	40	293	6.48	0.02	0.19	0.07	1	56	82	89	68	1	1	6.4	43	400	6.25	27	147	0.42	4.2	0.035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677196	Kenya	0	70	87	97	102	1	7.5	71	604	3.14	0.02	0.19	0.07	0	70	87	97	102	1	7.5	71	604	3.14	0.02	0.19	0.07	1	64	86	96	75	1	1	7.2	272	1764	3.79	69	286	0.52	4.2	0.068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677197	Kenya	1	50	73	88	100	1	8.5	35	265	4.9	0.01	0.13	0.05	1	50	73	88	100	1	8.5	35	265	4.9	0.01	0.13	0.05	1	64	86	96	99	1	0.5	7.7	85	629	4.76	32	297	0.42	4.2	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677198	Kenya	1	60	73	82	100	1	6.5	73	565	3.71	0.02	0.21	0.08	1	60	73	82	100	1	6.5	73	565	3.71	0.02	0.21	0.08	1	64	86	96	110	1	0.5	6.9	128	1005	3.18	34	383	0.42	4.2	0.091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677199	Kenya	0	64	86	100	120	1	6	41	330	7.27	0.02	0.24	0.09	0	64	86	100	120	1	6	41	330	7.27	0.02	0.24	0.09	0	64	86	96	90	1	1	7.7	72	415	6.74	30	200	0.42	4.2	0.047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677200	Kenya	0	67	86	102	90	1	9	75	686	6.12	0.04	0.42	0.15	0	67	86	102	90	1	9	75	686	6.12	0.04	0.42	0.15	0	56	82	92	105	1	1	8.8	106	565	6.37	38	337	0.52	4.2	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677201	North Korea	1	46	60	68	70	0.5	7	72	449	6.45	0.03	0.29	0.16	1	46	60	68	70	0.5	7	72	449	6.45	0.03	0.29	0.16	1	59	78	83	78	1	1	7.9	11	120	4.56	7	79	0.42	4.2	0.018	127.0392	35.8987	130	100	27	9379	305	-54	359	248	7	248	7	1263	275	34	73	664	109	664	109	4
