	ID	SeqID	Batch	Country	Biological_status	Agrobotanical_type	PlantHeight_y2019	TechnicalLenght_y2019	InflorescenceLenght_y2019	TechnicalPartWeight_y2019	BoxesNumber_y2019	SeedNumber_y2019	AverageDiameter_y2019	NumberOfInternodes_y2019	DistanceBetweenInternodes_y2019	ElementalFiberAvLenght_y2019	Taperingness_y2019	Slenderness_y2019	FiberWeight_y2019	FiberContent_y2019	WeightOf1000Seeds_y2019	OilContent_y2019	FusoriumPerc_y2019	PlantHeight_y2020_1	TechnicalLenght_y2020_1	InflorescenceLenght_y2020_1	TechnicalPartWeight_y2020_1	BoxesNumber_y2020_1	SeedNumber_y2020_1	AverageDiameter_y2020_1	NumberOfInternodes_y2020_1	DistanceBetweenInternodes_y2020_1	ElementalFiberAvLenght_y2020_1	Taperingness_y2020_1	Slenderness_y2020_1	FiberWeight_y2020_1	FiberContent_y2020_1	WeightOf1000Seeds_y2020_1	OilContent_y2020_1	FusoriumPerc_y2020_1	PlantHeight_y2020_2	TechnicalLenght_y2020_2	InflorescenceLenght_y2020_2	TechnicalPartWeight_y2020_2	BoxesNumber_y2020_2	SeedNumber_y2020_2	AverageDiameter_y2020_2	NumberOfInternodes_y2020_2	DistanceBetweenInternodes_y2020_2	ElementalFiberAvLenght_y2020_2	Taperingness_y2020_2	Slenderness_y2020_2	FiberWeight_y2020_2	FiberContent_y2020_2
L87	ByYro6787	L87	Big	Belarus	elite_cultivar	fiber_flax	100.7	83.1	16.1	954	6.9	44.9	1.7	77.6	10.7	16.8	459.6	0.6	244.7	25.7	4.7	37.65	12.5	88	76	12	506.67	2.83	29.75	1.27	74.33	10.23	15.34	552.24	0.65	185.67	36.85	5.6	36.5	0	88.8	75	13.8	473.6	2.6	18.35	1.31	66.6	11.29	16.01	580.01	0.63	147.2	31.51
L88	ByBel6791	L88	Big	Belarus	elite_cultivar	fiber_flax	102.3	85.8	17	952	6	30.3	1.7	76.8	11.2	17.4	464.7	0.6	235.8	24.8	4.42	36.95	0	97	85.8	11.2	598.8	3.2	32	1.26	84.2	10.2	16.24	620.7	0.56	201.2	33.68	5.2	36.5	0	90	81.5	8.5	288	1.5	18.36	0.94	68.25	11.96	16.72	857.89	0.67	90.5	31.4
L89	ByPri4841	L89	Big	Belarus	elite_cultivar	fiber_flax	76.6	55.6	21	464	5.2	32.4	1.5	57	9.8	13.3	352.1	0.5	112.4	23.8	4.42	37.95	14.3	69.75	59	10.75	236.5	2.25	13.75	0.91	58.25	10.17	13.29	590.57	0.46	78	32.64	4.6	36.8	0	76	63.25	12.75	300	3.75	18.37	1.06	54.75	11.56	14.81	561.52	0.57	77.5	26.38
L90	ByJod4851	L90	Big	Belarus	elite_cultivar	fiber_flax	62.4	39	23.4	334	7.2	28.2	1.4	44	8.9	11	258	0.5	56.2	17.1	4.74	37.9	0	62	46.5	15.5	218.5	5.25	21	0.98	46.5	10.07	12.1	463.87	0.35	53.5	24.95	5.6	39.6	0	53.83	42.83	11	151	3.33	18.38	0.92	38.83	11.08	12.38	462.66	0.41	34.33	22.65
L92	UaAel5041	L92	Big	Ukraine	elite_cultivar	fiber_flax	85.3	65.7	19.7	707	5.7	32	1.7	59.3	11.1	15.4	364.9	0.7	180	26	5.1	38.81	25	83.5	75.25	8.25	307	1.5	11.5	0.99	72	10.45	15.12	711.24	0.58	105.5	34.29	5.2	39.9	38.9	87.67	73.5	14.17	464.67	3.5	18.39	1.31	66.67	11.08	15.72	558.28	0.63	142	30.53
L93	UaLvo4845	L93	Big	Ukraine	elite_cultivar	fiber_flax	70.4	51.1	18.6	438	8.6	54.7	1.5	50.6	10.1	13.1	323.3	0.5	95.1	21.5	5.6	38.15	50	61	42.67	18.33	304	6.67	42.33	1.25	40	10.71	12.44	315.33	0.58	69.33	22.83	5.4	39.1	58.3	67	54	13	259	3.5	18.4	1.14	44	12.3	14.52	459.78	0.57	61	23.74
L94	UaKam6637	L94	Big	Ukraine	elite_cultivar	fiber_flax	94.5	78.5	16	657	7	34	1.6	76	10.4	16	430.8	0.8	127.5	19.2	4.5	39.7	0	87.4	73.8	13.6	424.4	5	32.5	1.22	70	10.54	15.29	556.59	0.45	115.6	27.81	4.8	40.4	44.4	86.75	71.5	15.25	438.5	5.5	18.41	1.31	62.75	11.5	15.82	515.93	0.51	110.5	25.3
L95	UaD144626	L95	Big	Ukraine	breeding_line	fiber_flax	79.3	54.7	24.7	645	10	35.3	1.7	49	11.2	14.5	310.5	0.5	127.7	20.4	4.5	37.94	0	84	71	13	298.5	2	14.25	0.96	67	10.6	14.79	690.19	0.58	92	30.81	4.8	38.8	0	73.6	61.2	12.4	278	2.6	18.42	1.04	53.6	11.44	14.51	572.34	0.67	74	26.81
L96	Ua4972	L96	Big	Ukraine	breeding_line	fiber_flax	93.3	77	16.3	789	5.9	42	1.7	67.9	11.4	16.6	429.7	0.6	199.8	25.5	5.14	37.35	0	86.6	77	9.6	371.4	2.2	16.5	1.11	73.4	10.49	15.44	647.96	0.5	130.8	35.53	5	38.6	0	90.6	75.4	15.2	526.4	4.4	18.43	1.41	67.8	11.12	16.04	524.61	0.62	155.2	29.78
L97	Ua6650	L97	Big	Ukraine	elite_cultivar	fiber_flax	115	97	18	1080	6	16	1.7	80	12.1	19.1	524.3	0.9	314	29.1	5.48	39.42	85.7	104	86.8	17.2	698	5	44.75	1.46	84.2	10.31	16.63	525.76	0.52	225.2	32.21	4.4	39.7	50	101.7	87.33	14.33	549.33	3.33	18.44	1.34	76.83	11.39	17.3	613.77	0.62	162	29.59
L106	Lt6184	L106	Big	Lithuania	breeding_line	fiber_flax	78.2	57	20.2	636	8	60	1.7	54.4	10.4	14.1	337.1	0.8	159.2	25.2	5.1	38.4	87.5	77.6	67	10.6	330.4	1.6	13.5	1.07	63.8	10.5	14.45	596.97	0.48	114.8	34.64	5.2	37.4	83.3	73.6	63	10.6	254	1.8	18.53	1.01	53.4	11.83	14.92	637.46	0.49	84.4	33.04
L107	Lt4986	L107	Big	Lithuania	breeding_line	fiber_flax	95.3	78	17.3	915	8.7	62.7	1.7	74.3	10.6	16.2	433.9	0.8	250.3	27.4	4.22	37.9	12.5	85.33	73	12.33	346.5	2.67	27.25	1.1	70	10.44	15.01	619.02	0.44	120	34.8	4.8	36.7	41.7	90.4	78.6	11.8	442	3.8	18.54	1.24	68.6	11.53	16.45	599.95	0.54	144	32.64
L108	Lt4980	L108	Big	Lithuania	breeding_line	fiber_flax	67	61.7	12	378	4.7	37	1.3	53.3	11.6	14.9	440.7	0.5	85.7	22.9	4.38	37.8	62.3	67.67	55.17	12.5	267.33	3.83	42.75	1.02	52.17	10.58	13.31	505.36	0.39	71	26.84	5	36.6	91.7	74.67	62.33	12.33	322	5.33	18.55	1.1	52.67	11.83	14.95	572.11	0.59	80.67	24.88
L109	Lt6175	L109	Big	Lithuania	breeding_line	fiber_flax	97.3	75.7	21.7	1077	11	74	2	71	10.7	16.3	354.6	0.7	256	23.9	5.45	38.55	87.5	83.4	67.8	15.6	481.2	5.4	45	1.3	65.4	10.38	14.68	480.81	0.52	135.2	28.4	5.4	39.85	91.7	84.5	71	13.5	452	4	18.56	1.27	60.25	11.87	15.99	558.41	0.63	123	27.84
L110	NlMer6679	L110	Big	Netherlands	elite_cultivar	fiber_flax	90	76.5	16	716	5	35.8	1.5	65.5	11.7	16.6	469.5	0.7	216.5	30.5	5.94	39.45	0	80.8	67.2	13.6	396.4	3.2	28.5	1.17	64.6	10.4	14.5	554	0.48	151.6	38.33	5.2	38.5	0	78	66.8	11.2	345.6	3.4	18.57	1.14	63.2	10.6	14.57	547.78	0.56	113.6	32.54
L111	NlAga6700	L111	Big	Netherlands	breeding_line	fiber_flax	99.3	76.7	23.3	1035	9	27	1.7	65.3	11.9	17	427.8	0.6	268	25.9	5.78	38.2	0	91.33	73.67	17.67	662.67	6.33	44	1.44	71.67	10.29	15.33	483.15	0.4	184.67	27.97	5.1	39.3	0	78	63.67	14.33	383.33	3.33	18.58	1.13	58.33	10.92	14.48	711.86	0.67	130	35.23
L113	NlEli5654	L113	Big	Netherlands	elite_cultivar	fiber_flax	103.7	84	19.7	1058	6.7	51.3	1.8	74.7	11.3	17.4	444.5	0.6	268	25.2	4.98	37.9	75	86.4	72.8	13.6	532.8	3.6	31.75	1.28	69.4	10.5	15.22	547.45	0.63	165.6	31.46	5	36.6	81.7	81.33	71	10.33	304	2.33	18.59	1.02	52	14	17.2	681.7	0.67	90	29.64
L114	NlLau5580	L114	Big	Netherlands	elite_cultivar	fiber_flax	92.8	72.5	20.3	911	9	54	1.7	67.5	10.8	15.9	410.5	0.6	206.8	22.6	5.08	35.31	37.5	87.83	73.83	14	499	3.5	35	1.23	71.5	10.33	15.15	590.11	0.55	141.67	28.52	5.2	36.85	22.2	79	70.25	8.75	245	1.5	18.6	0.9	57	12.34	15.86	756.89	0.5	69.5	28.57
L117	NlMar5571	L117	Big	Netherlands	elite_cultivar	fiber_flax	100.7	80	20.7	855	9	30.3	1.7	76.3	10.5	16.3	477.5	0.4	205.7	23.8	5.05	38.12	25	89.6	74.6	15	482	4.6	39.25	1.22	71.8	10.4	15.26	559.43	0.49	144.8	30.14	5.2	36.95	0	86.6	68.8	17.8	520	5.8	18.62	1.4	56.6	12.25	16.17	478.33	0.68	139.6	26.78
L118	NlRei4023	L118	Big	Netherlands	elite_cultivar	fiber_flax	103	83.3	19.7	999	10	43.3	1.7	78.3	10.7	16.8	474.7	0.4	191	20	4.01	37.61	57.1	78.17	65.67	12.5	375.67	3.33	29.5	1.1	63	10.43	14.31	547.61	0.45	112.33	30.14	5.4	36.2	91.7	80.5	66.75	13.75	458	4.5	18.63	1.28	54	12.4	15.96	515.25	0.51	108.5	24.55
L119	NlTTa4224	L119	Big	Netherlands	breeding_line	fiber_flax	83.8	59.6	21.8	649	10.4	77.4	1.5	54.2	11	14.6	355	0.7	132.6	20.6	4.5	37.24	85.7	72.5	53.5	19	321.5	4.83	53.93	1.2	50.5	10.59	13.35	418.47	0.55	84	26.26	5.2	36.85	77.8	70.83	57.17	13.67	276.33	3.17	18.64	1.12	54.67	10.49	13.55	498.39	0.56	69.67	25.2
L120	NlBel4825	L120	Big	Netherlands	elite_cultivar	fiber_flax	96	67.5	28.5	967	14	94.5	1.9	61	11	15.7	337.5	0.7	194.5	20.1	5.33	38.15	50	88.2	73.4	14.8	495	4.4	39.5	1.23	69.6	10.55	15.26	575.81	0.57	131.2	28.07	5.6	37.45	33.3	86	70.2	15.8	328.4	3.2	18.65	1.07	58	12.18	15.92	600.35	0.63	64.24	21.63
L124	FrFCF5567	L124	Big	France	breeding_line	fiber_flax	107	80.5	26.5	1586	12	37	2.2	78.5	10.2	16.8	355.6	0.9	280	17.7	4.92	37.21	25	80.8	73.4	7.4	330.2	1.4	13.75	1	70.2	10.46	14.97	698.46	0.5	102	30.86	5.6	36.65	0	89.8	75.8	14	476.4	3	18.66	1.27	57	13.35	17.47	583.43	0.69	124	26.45
L127	FrEve7048	L127	Big	France	elite_cultivar	fiber_flax	91.3	79.3	12	746	3.7	27.3	1.5	72.3	11	16.4	511.6	0.6	217	29.2	5.28	38.55	0	85.4	72.2	13.2	415	3.6	26.25	1.15	68.8	10.5	15.03	596.91	0.4	136.4	33.56	5.6	37	11.1	82.8	66.2	16.6	434.8	3.8	18.68	1.21	60.6	10.94	14.82	518.24	0.48	150.8	34.96
L128	FrHer6126	L128	Big	France	elite_cultivar	fiber_flax	68.5	51.5	17	484	6.5	45.5	1.5	49	10.5	13.4	325	0.6	89	18.4	4.32	38.98	50	81.33	67	14.33	425.33	3.33	24.33	1.2	63.67	10.54	14.62	533.92	0.47	143.33	32.99	5.2	37.4	17.7	87.4	72.6	14.8	563.2	3.8	18.69	1.32	54.4	13.47	17.3	507.39	0.7	195.2	34.65
L130	FrDat4823	L130	Big	France	elite_cultivar	fiber_flax	101	85.8	15.3	865	6	41.5	1.6	75.3	11.5	17.4	540.6	0.6	226.3	27	4.22	38.12	100	89.2	73.4	15.8	517.2	4	34.75	1.31	69.8	10.52	15.33	500.03	0.59	153.6	29.86	5.2	37.7	100	86	76.17	9.83	308	1.83	18.71	1.02	62.5	12.24	16.48	707.87	0.62	91.67	29.86
L132	FrAri6220	L132	Big	France	elite_cultivar	fiber_flax	101.5	84	17.5	880	7.5	52.3	1.6	73.8	11.5	17.3	484.5	0.6	182.8	20.8	4.32	37.44	50	87	66.5	20.5	618	6.5	49	1.5	63.5	10.48	14.83	416.94	0.47	161	26.12	6	36.2	61.1	93	76.5	16.5	528	7	18.73	1.32	60.5	12.64	17.1	522.99	0.81	133	27.39
L133	FrVik6558	L133	Big	France	elite_cultivar	fiber_flax	87.3	65.8	21.5	795	8.8	58.7	1.7	61.5	10.6	15.1	364.3	0.5	229.3	27.6	4.95	39.41	25	74.83	64.83	10	300.67	2.5	18.25	1.01	62.33	10.43	14.13	609.71	0.5	109.33	36.64	5.26	38.5	0	77.17	67.33	9.83	394.67	2.67	18.74	1.08	53.5	12.6	15.94	579.65	0.77	128.67	32.68
L135	NlBlu1843	L135	Big	Netherlands	breeding_line	fiber_flax	82.3	62.3	20.5	575	8	39.8	1.5	58.3	10.7	14.5	383.8	0.6	96.3	17.1	4.82	38.96	100	72	60.5	11.5	222.5	2.75	10.75	0.95	52	11.81	14.61	606.18	0.46	48.5	21.91	5.2	38.4	100	80	70	10	218	2.5	18.75	0.76	48	14.58	17.23	906.86	0.53	51	23.13
L142	Cz5569	L142	Big	Czech	breeding_line	fiber_flax	99.5	82.8	16.8	921	9	53.8	1.7	78	10.7	16.7	473.2	0.6	240	26.6	4.72	38.91	12.5	60.8	48.2	12.6	252.8	4.6	33.5	0.88	45.2	10.68	12.58	414.09	0.4	66.4	26.31	4.8	37.7	0	76.5	65.67	10.83	281.67	2.67	18.81	0.98	56.33	11.7	15.06	649.17	0.45	88	31.23
L143	Cz4811	L143	Big	Czech	breeding_line	fiber_flax	78.2	60	18.2	481	5.5	35.2	1.5	56	10.7	14.4	384.7	0.5	119.2	24.7	4.82	39.78	71.4	73.5	59.5	14	323.5	3.75	23	1.17	56.75	10.49	13.82	494.58	0.41	105.5	32.74	5.06	39.1	50	80	62.5	17.5	388.33	4.5	18.82	1.22	56.33	11.09	14.58	488.97	0.5	120.33	31.34
L147	PlGlo3949	L147	Big	Poland	elite_cultivar	fiber_flax	74.8	49.4	25.4	502	13.2	82.2	1.5	44.6	11	13.5	350.7	0.7	105.6	21	4.44	38.35	100	61.67	43.33	18.33	205.33	5	27.67	1.05	42.67	10.14	11.91	410.37	0.37	52	26.3	5	38.35	77.6	62.17	47.5	14.67	262.33	5.33	18.85	1.22	34.33	10.99	12.85	376.46	0.51	58	22.14
L148	FrAst4955	L148	Big	France	elite_cultivar	fiber_flax	94.7	77.7	17	898	8.3	55.7	1.7	71	11	16.4	435.6	0.7	269	30.7	4.96	39.23	87.5	85	69.6	15.4	430.4	5.4	46.75	1.24	65.8	10.58	14.94	530.05	0.44	107.2	25.17	5.24	38.6	81.7	86	71	15	436	5	18.86	1.23	70	10.14	14.75	537.88	0.54	116	26.61
L151	PlArt6264	L151	Big	Poland	elite_cultivar	fiber_flax	102	68	14	988	10	60	1.7	33	20.6	22.2	367.6	0.8	265	26.8	5.52	39.12	0	77	69.5	7.5	245	2	12.5	0.96	65.5	10.61	14.65	647.72	0.48	83	34.61	5.6	38.7	0	84.6	70.8	13.8	434.8	3.6	18.87	1.26	59.4	11.97	16.03	564.83	0.77	133.6	31.28
L154	RoRol6256	L154	Big	Romania	elite_cultivar	fiber_flax	89.4	68.9	20.5	1367	9.9	35.1	2.3	61.1	11.3	16.5	334.3	1.2	230	16.7	4.1	39.34	75	86.75	75	11.75	266.5	2.5	13	0.9	71.75	10.45	15.01	772.68	0.39	77	28.94	5.6	38.3	89.2	98	83.75	14.25	561.5	4.25	18.9	1.34	71	11.8	17.23	638.24	0.8	134	23.54
L155	RoZ616247	L155	Big	Romania	breeding_line	fiber_flax	82.33	67	15.33	364.67	3.67	22	1.09	63.33	10.58	14.52	555.35	0.41	92	25.43	5	36.7	71.4	87.75	73.25	14.5	501.5	4.5	27.75	1.29	63	11.63	16.06	539.49	0.65	120.5	24.5	NA	NA	91.7	87.09	71.95	15.14	509.39	4.32	18.91	1.29	65.58	11	15.49	532.15	0.59	119.97	24.21
L156	RoZ956381	L156	Big	Romania	breeding_line	fiber_flax	90	71.7	18.3	598	7.3	31.7	1.5	68	10.6	15.4	486.7	0.3	128.7	21.3	3.82	37.89	100	94	78	16	390	3	23.33	1.06	76	10.26	15.33	688.84	0.5	97.33	25.12	5	36.95	33.3	101	85	16	497.33	4.67	18.92	1.28	74.67	11.45	17.05	616.63	0.55	112.67	22.66
L157	RoZ956382	L157	Big	Romania	breeding_line	fiber_flax	56.8	30.2	26.6	420.4	7.3	17.6	1.94	27.5	11	12.16	178.75	0.89	71.1	17.62	5.92	38.93	75	50.33	32	18.33	158	3	11.33	1.02	36.67	8.77	9.85	334.2	0.23	36.67	24.54	5.92	37.55	22.2	59.5	43.5	16	204	3.33	18.93	1.09	34.17	12.77	13.78	410.33	0.44	44.33	21.65
L158	RoZ956383	L158	Big	Romania	breeding_line	fiber_flax	112	88.7	24.3	933	5.7	21.7	1.7	82.7	10.7	17.3	507.7	0.5	124.7	13.6	3.88	38.32	0	90.67	66	24.67	361.33	4.67	30.67	1.18	61.67	10.7	14.61	545.93	0.2	90	25.01	4.3	36.5	0	91.25	80.25	11	302	2	18.94	0.9	67	12	16.58	968.22	0.63	76.67	19.22
L160	RoZ956384	L160	Big	Romania	breeding_line	fiber_flax	99	85	14	751	4.8	23.8	1.6	77.3	11	17	531.3	0.5	206.3	27.8	4.72	37.32	0	91.75	79	12.75	340	3	15.5	1	74.5	10.6	15.6	739.35	0.44	98	28.97	5.2	36.4	11.1	94	82	12	464.67	2.67	18.95	1.17	70.67	11.66	16.79	661.36	0.64	116.67	25.23
L165	Se5689	L165	Big	Sweden	landrace	fiber_flax	83.5	65	18.5	903	7.2	33.7	2	51.7	12.6	16.7	341.9	0.9	175.2	19.6	5.32	39.25	62.5	89.17	72.17	17	467.67	5	46	1.27	67.5	10.69	15.29	541.72	0.46	115	24.7	5	38.05	75	98	78.5	19.5	526.5	5	18.99	1.3	71	11.07	16.19	569.82	0.65	127.5	24.13
L166	SeBle3078	L166	Big	Sweden	elite_cultivar	fiber_flax	67	45.4	21.6	268	6	48	1.2	40.8	11.13	12.95	412.36	0.44	50.4	18.99	4.98	37.39	37.5	62.4	41.6	20.8	182.6	4.4	25.75	1.01	38	10.96	12.26	429.76	0.33	41.6	23.01	5.2	36.8	35.2	60	51.5	8.5	161.33	2.33	18.1	0.77	40.17	12.86	14.4	733.29	0.45	38.67	23.65
L167	Cnv876217	L167	Big	China	breeding_line	fiber_flax	78.4	62.2	16.2	924	7.6	39.8	2	49.6	12.5	16.4	330.6	1	148	16.3	5.53	39.24	0	108.7	92	16.75	753.25	6	20	1.44	87.25	10.55	17.26	582.4	0.49	149.5	20.2	6	38.05	16.7	87.33	79.67	7.67	322	2	18.101	0.96	65.67	12.19	16.72	843.45	0.61	69.33	23.18
L168	CnJVM6843	L168	Big	China	elite_cultivar	fiber_flax	81	67.5	13.5	246	1.5	5	0.84	56.5	11.91	15.24	814.32	0.39	52	21.23	3.92	36.56	37.5	73.33	61.67	11.67	198.33	1	8.67	0.88	57	10.85	13.98	691.88	0.45	57.33	28.73	5	36.7	34.1	86.5	80	6.5	295.5	1.5	18.102	0.85	67	12.01	16.52	952.75	0.63	75	25.64
L169	CnJVM6838	L169	Big	China	elite_cultivar	fiber_flax	73.3	47.3	26	662	7	38.5	1.9	34	13.9	15.8	303.4	0.8	101	16	4.8	37.52	37.5	74	58	16	286	2.5	10.5	1.02	47	12.32	14.79	573.71	0.46	60	19.23	5.6	36.4	0	85.75	65	20.75	456.5	3	18.103	1.22	55	11.89	15.37	562.76	0.67	107	24.05
L170	Cn5502	L170	Big	China	breeding_line	fiber_flax	84.5	65.3	19.2	704	4.5	25.4	1.9	50.8	12.9	16.8	363.2	1.1	144	20.4	5.26	38.84	37.5	99.17	87.17	12	455.83	2.5	24.75	1.16	82.67	10.55	16.52	687.22	0.46	113	25.08	5.4	39.05	25	104	88	16	630.4	3.8	18.104	1.43	80	11.02	17.2	597.9	0.74	131.6	21.13
L171	Cn5506	L171	Big	China	breeding_line	fiber_flax	82.7	69.8	12.8	777	4.2	15.8	1.7	57.2	12.2	16.6	434.2	1.1	154	20.2	4.77	38.32	62.5	93.5	86.5	7	325	2	2	1.01	84	10.3	16.12	812.39	0.7	80	24.86	5.6	37.55	83.3	110.2	97.83	12.33	705	4.33	18.105	1.36	85.83	11.41	18.34	639.6	0.9	161.67	23.13
L172	Cn5520	L172	Big	China	breeding_line	fiber_flax	90.1	66	24.1	736	4.7	23.8	1.9	54.5	12.3	16.5	384.7	1.2	130.8	18.1	4.91	38.21	42.9	116	101.8	14.25	776	5	16	1.39	98.5	10.34	18.01	657.12	0.55	188	24.34	5.2	38.5	73.3	109.2	95.6	13.6	666.4	3.8	18.106	1.35	85.6	11.16	17.94	641.79	0.72	137.6	20.46
L173	CnJVM6841	L173	Big	China	elite_cultivar	fiber_flax	86	80	6	302	1	9	0.89	69	11.59	16.27	784.31	0.67	80	26.49	5.7	39.11	0	88.5	69.5	19	452	3	10.5	1.2	66	10.54	14.85	523.12	0.57	131	29.01	5.7	38.8	16.7	88.75	73.25	15.5	463	3	18.107	1.24	65.5	11.22	15.72	541.09	0.63	128.5	27.8
L174	Cn5507	L174	Big	China	breeding_line	fiber_flax	75.9	64.1	11.8	548	3.6	22.1	1.5	54.5	11.9	15.5	437	0.8	121	23.2	4.37	37.83	37	82.8	69	13.8	412.4	2.8	26.75	1.27	65.8	10.49	14.85	531.93	0.49	126.4	30.47	5.4	36.25	25	86.4	71.2	15.2	497.6	3.6	18.108	1.34	64.2	11.11	15.55	498.37	0.71	144	29.24
L175	Cn5518	L175	Big	China	breeding_line	fiber_flax	79.9	59.3	20.6	799	8.1	44	2.1	50.4	11.9	15.7	325.1	1.1	126.7	16.5	4.14	38.32	0	72.2	58.8	13.4	229.2	3.4	32.5	0.94	56.2	10.47	13.51	595.27	0.38	51.2	22.48	4.6	36.65	0	76	62.33	13.67	256.67	3.33	18.109	0.99	52.67	11.87	14.87	616.76	0.54	58.67	22.82
L176	Cn6870	L176	Big	China	breeding_line	fiber_flax	90.5	71.3	19.2	900	7.3	47.6	1.9	57.8	12.3	17	378.3	1	195.8	22.4	4.42	38.44	12.5	104.5	85.75	18.75	607.5	5.25	23.25	1.33	80.25	10.7	16.65	583.76	0.48	130.5	22.34	5.6	38	36.1	92.75	82.5	10.25	315	1.75	18.11	0.99	72.25	11.4	16.47	766.87	0.63	81	25.66
L177	Cn6991	L177	Big	China	breeding_line	fiber_flax	98.2	82.2	16	513.2	3.8	18.5	1.29	68.4	12.13	17.26	605.71	0.71	112	21.68	4.93	39.21	0	99.67	87	12.67	593.33	4.33	24.67	1.29	82.33	10.57	16.64	639.74	0.7	146.67	25.17	5.67	39.1	30.3	101.5	86	15.5	616.5	4.5	18.111	1.37	79.75	10.77	16.78	584.19	0.84	140	23.14
L179	CnL936020	L179	Big	China	breeding_line	fiber_flax	89.9	71.2	18.7	1025	5.6	38.7	1.8	57.3	12.4	17	394.9	0.9	178.5	18.6	5.49	39.56	0	84	77	7	349	1	10	0.94	71	10.82	15.5	732.88	0.44	94	27.11	6	39.1	0	106	93.33	12.67	588	3.33	18.112	1.3	84.67	11.03	17.58	724.55	0.73	122.67	21.62
L180	CnL876215	L180	Big	China	breeding_line	fiber_flax	96.5	86.5	10	499.5	3.25	17.75	1.23	70.75	12.24	17.69	666.92	0.66	119	24.03	5.05	39.43	12.5	101.7	89.67	12	630	4	23.33	1.38	86.67	10.35	16.84	614.01	0.72	156	25.76	5.8	38.55	12.5	99.83	87.17	12.67	546.67	3.67	18.113	1.37	78.83	11.08	17.09	594.82	0.69	131.33	24.45
L181	CnL876216	L181	Big	China	breeding_line	fiber_flax	76	59.5	16.5	667	5.8	28.5	1.7	51	12.2	15.5	350.7	0.7	136.8	21	4.52	39.25	0	101.3	81.67	19.67	976.67	5.33	19	1.65	78	10.54	16.49	502.31	0.68	210.67	22.82	5.6	38.44	0	84	73	11	345	3	18.114	1.04	61	12.02	16.04	660.78	0.66	87	25.5
L182	CnL876214	L182	Big	China	breeding_line	fiber_flax	77.3	56.7	20.7	750	8	31.7	1.9	46.5	12.4	15.6	320.5	0.9	150.7	20.6	5.48	39.41	37.5	102.7	83.33	19.33	707.33	5	25.33	1.42	78.33	10.67	16.49	611.03	0.61	157.33	23.46	5.6	38.55	38.9	87.5	74.75	12.75	448	3.25	18.115	1.23	64	11.72	16.2	569.47	0.74	97.5	23.05
L185	JpHon5404	L185	Big	Japan	breeding_line	fiber_flax	78.6	62.1	16.5	605	5.7	19.3	1.6	49.5	12.6	16	404	0.8	109.1	18.2	4.28	37.21	0	86	69	17	485	6	40.5	1.25	66	10.45	14.8	583.2	0.45	106	24.05	4.8	36.35	0	86.4	71.6	14.8	311.2	3	18.118	1.04	61.4	11.67	15.67	715.29	0.36	71.6	23.54
L186	JpHon5405	L186	Big	Japan	breeding_line	fiber_flax	84.6	72.8	11.8	140.8	2.4	21.4	1.03	62.4	11.67	15.77	646.49	0.61	86.4	NA	4	38.21	11.5	94.5	79.75	14.75	447.5	3.25	26.75	1.2	76	10.49	15.8	595.27	0.55	108	24.17	5.2	37.3	0	95	81.2	13.8	406.8	2.6	18.119	1.15	69.6	11.83	16.81	660.89	0.65	97.6	24.16
L187	JpKot5406	L187	Big	Japan	breeding_line	fiber_flax	47.8	36.5	17.5	171	9.3	23.3	NA	30.8	18.6	19.1	300	0.7	31.4	22.9	3.72	38.44	62.5	62.2	45.2	17	253	5.8	42.5	1.16	42.2	10.71	12.59	394.36	0.4	59.6	23.82	4.4	37.15	83.3	48.04	38.38	15.03	194.65	8.48	18.12	NA	34.87	10.5	10.84	351.35	0.3	47.36	17.54
L188	JpHon5396	L188	Big	Japan	breeding_line	fiber_flax	46.6	28	18.6	163	3.1	13.8	1.2	25.3	11.1	11.3	251.1	0.5	24	14.6	3.71	37.59	0	63	44	19	267	5.4	34	1.24	42	10.43	12.37	351.42	0.38	66	24.7	4.09	38.1	8.3	67.67	52.5	15.17	246	4.17	18.121	1.04	43	12.31	14.28	470.3	0.46	64.67	26.3
L189	JpHon5365	L189	Big	Japan	breeding_line	fiber_flax	43.9	27.6	16.3	176	4.3	22.7	1.3	24.3	11.4	11.6	244.7	0.5	26.7	16.7	3.52	37.32	0	55.83	38.33	17.5	216.17	5.67	50.25	1.18	34.83	11.01	12.17	310.7	0.29	50	23.27	4.2	36.45	16.7	51.8	35.8	16	126.8	2.6	18.122	0.95	29.2	12.28	12.56	369.47	0.4	31.2	25.24
L190	JpHon5382	L190	Big	Japan	breeding_line	fiber_flax	61.1	43.1	18	391	4.4	8.6	1.4	32	13.6	14.6	336.2	0.7	62.9	17.1	3.6	37.98	12.5	74.25	59.25	15	271.25	3.75	23.75	1.04	57.5	10.33	13.56	530.12	0.27	71	27.04	4.6	36.9	0	67.6	56.6	11	214.4	2.4	18.123	0.91	46.2	12.26	14.49	585.52	0.42	57.2	26.45
L192	JpHon5383	L192	Big	Japan	breeding_line	fiber_flax	54.2	32.8	21.3	303	6.8	32.2	1.5	24.3	13.5	13.6	243.8	0.6	48.7	16.5	3.98	37.12	0	65	48.5	16.5	282.33	4.33	36.75	1.2	45.5	10.68	12.93	392.04	0.49	74	26.24	4.6	36.45	8.3	60.8	51.4	9.4	183.2	3	18.124	0.91	39.6	13.01	14.52	527.31	0.48	50	27.16
