	ID	SeqID	Batch	Country	Biological_status	Agrobotanical_type	PlantHeight_y2019	TechnicalLenght_y2019	InflorescenceLenght_y2019	TechnicalPartWeight_y2019	BoxesNumber_y2019	SeedNumber_y2019	AverageDiameter_y2019	NumberOfInternodes_y2019	DistanceBetweenInternodes_y2019	ElementalFiberAvLenght_y2019	Taperingness_y2019	Slenderness_y2019	FiberWeight_y2019	FiberContent_y2019	WeightOf1000Seeds_y2019	OilContent_y2019	FusoriumPerc_y2019	PlantHeight_y2020_1	TechnicalLenght_y2020_1	InflorescenceLenght_y2020_1	TechnicalPartWeight_y2020_1	BoxesNumber_y2020_1	SeedNumber_y2020_1	AverageDiameter_y2020_1	NumberOfInternodes_y2020_1	DistanceBetweenInternodes_y2020_1	ElementalFiberAvLenght_y2020_1	Taperingness_y2020_1	Slenderness_y2020_1	FiberWeight_y2020_1	FiberContent_y2020_1	WeightOf1000Seeds_y2020_1	OilContent_y2020_1	FusoriumPerc_y2020_1	PlantHeight_y2020_2	TechnicalLenght_y2020_2	InflorescenceLenght_y2020_2	TechnicalPartWeight_y2020_2	BoxesNumber_y2020_2	SeedNumber_y2020_2	AverageDiameter_y2020_2	NumberOfInternodes_y2020_2	DistanceBetweenInternodes_y2020_2	ElementalFiberAvLenght_y2020_2	Taperingness_y2020_2	Slenderness_y2020_2	FiberWeight_y2020_2	FiberContent_y2020_2
L102	Lt6595	L102	Small	Lithuania	breeding_line	fiber_flax	102	83.3	18.8	711	8.8	41.8	1.5	75.8	11	16.9	498	0.6	139.5	19.8	3.74	37.91	NA	78.67	67	11.67	204	2.33	16	0.77	59.33	11.34	14.71	883.15	0.51	49.33	24.24	4.6	37.05	NA	83	71.8	11.2	303.2	2.8	23.6	1.08	64.8	11.09	15.32	609.87	0.49	68	22.59
L104	LtB315533	L104	Small	Lithuania	breeding_line	fiber_flax	95.7	82	13.7	664	5	31	1.6	72.7	11.4	17	521.2	0.4	154.7	23.8	4.22	35.89	NA	91.2	81.6	9.6	324	1.6	13.25	0.92	78.6	10.38	15.61	828.43	0.48	101.2	31.56	5	36.65	NA	94.17	85.17	9	329.33	1.5	9.83	0.96	74.67	11.42	16.72	817.07	0.6	87	26.43
L126	FrAli6704	L126	Small	France	elite_cultivar	fiber_flax	81.6	61.7	19.9	802	8.9	42.8	1.8	48.6	13.1	16.5	361.3	0.7	211.4	28.2	5.54	38.93	NA	88.5	74	14.5	520	4	28.75	1.32	68.25	10.84	15.62	524.65	0.48	175.5	34.18	5.4	37.6	NA	83.75	75.25	8.5	351.5	2	8.5	0.99	58.5	13.19	17.02	825.75	0.61	121.5	35.25
L129	FrDia5562	L129	Small	France	elite_cultivar	fiber_flax	107.3	90.7	16.7	915	4.3	22.3	1.6	80.7	11.3	17.8	529.7	0.7	242.3	26.6	3.42	37.4	NA	82.75	77.25	5.5	267	1.25	8.5	0.85	73.75	10.5	15.2	861.81	0.52	87.5	33.35	3.87	36.7	NA	99.83	86	13.83	482.67	2.83	18.5	1.14	64.33	13.51	18.42	660.77	0.8	145.67	30.25
L131	FrEve5644	L131	Small	France	elite_cultivar	fiber_flax	97	76.3	20.7	1032	9.7	46.7	1.8	68.3	11.2	16.6	419.3	0.6	256	24.7	5.2	38.48	NA	80.5	70.25	10.25	360.25	2	15	1.09	66.5	10.57	14.83	629.32	0.43	122	33.9	5	37.45	NA	84.5	71.5	13	435.67	4.17	25.5	1.16	57.67	12.46	16.33	612.82	0.71	142.67	32.85
L137	ItEco6252	L137	Small	Italy	elite_cultivar	fiber_flax	56.2	28	28.2	338	9.2	23.6	1.8	26.8	10.4	11.4	171.8	0.7	42.6	12.6	5.04	39.96	NA	53.6	38.4	15.2	214	5.2	35.5	1.15	34	11.33	12.36	344.35	0.35	51.6	24.48	6.8	38.75	NA	56.83	39.67	17.17	249	6.67	28	1.2	27.17	15.09	15.13	326.06	0.62	53	21.53
L140	CzArg6229	L140	Small	Czech	elite_cultivar	fiber_flax	96	75.3	20.7	863	8.3	32.3	1.7	72	10.5	15.9	438.8	0.5	178.3	20.8	4.64	37.52	NA	75	61.4	13.6	328.8	3.2	23.25	1.09	55.2	11.12	14.37	519.4	0.56	88	26.91	5	36.6	NA	84.5	68.5	16	461	3.75	27.5	1.21	58	11.83	15.65	504.23	0.86	118.5	25.91
L141	Cz5578	L141	Small	Czech	landrace	fiber_flax	61.7	49.7	12	286	5	15.3	1.1	44.7	11.2	13.3	400.3	0.6	53.7	19.9	4.68	38.46	NA	60.8	48.2	12.6	252.8	4.6	33.5	0.88	45.2	10.68	12.58	414.09	0.4	66.4	26.31	4.8	37.7	NA	60.6	49.4	11.2	206.8	3.8	23.6	0.95	43.4	11.44	13.29	519.03	0.59	53.2	26.8
L144	PlNIK5537	L144	Small	Poland	elite_cultivar	fiber_flax	86.8	67	19.8	644	9.4	33.2	1.6	64.2	10.4	15	409.1	0.5	154.2	24.1	5.13	38.12	NA	86.33	70.33	16	440.67	4	15	1.17	65.67	10.71	15.02	579.16	0.46	125.33	28.52	6	36.5	NA	81	69	12	184.5	1.5	2	0.8	58	11.97	15.38	979.17	0.47	71	NA
L145	PlSue3839	L145	Small	Poland	elite_cultivar	fiber_flax	66.7	31.5	34.7	460	9.8	29.6	1.9	28.6	11.1	12.3	183.5	0.9	65.4	14.7	4.72	38.21	NA	56	45.75	10.25	189	3.5	20	0.94	41.25	11.13	12.7	454.2	0.38	49	26.19	4.8	38	NA	60.75	47.25	13.5	229.5	4.25	32.5	1.05	39.5	12	13.57	421.63	0.5	55	24.15
