VIRCat	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
vir_1211	8	33	2.94443897916644	2.30258509299405	8	3	7	5	5	7	9	9	3	7	5	2	1	48	24	1.41098697371026	2.19722457733622	3.46573590279973	3.71357206670431	1.54756250871601	7	18	8	3	14	4.94164242260930
vir_1404	8	34	2.94443897916644	2.30258509299405	11	3	7	5	5	7	9	5	3	1	5	2	1	55	25	2.79728133483015	3.37416870927424	4.54329478227000	4.62497281328427	2.77881927199042	7	20	10	3	10	5.10594547390058
vir_1405	7	34	2.99573227355399	2.39789527279837	11	3	7	5	5	7	9	3	3	1	5	2	1	50	22	1.70474809223843	1.97408102602201	3.89182029811063	3.95124371858143	1.72276659774110	7	19	9	3	10	4.90527477843843
vir_1406	8	35	2.89037175789616	2.39789527279837	11	3	7	3	3	7	7	9	3	7	7	1	1	60	20	2.38876278923510	3.55820113047182	4.91998092582813	5.12396397940326	2.99573227355399	7	22	10	3	10	5.01063529409626
vir_1411	7	34	2.94443897916644	2.39789527279837	10	3	7	5	3	7	7	7	3	7	7	1	1	55	20	2.39789527279837	2.62466859216316	4.24849524204936	4.06044301054642	1.77495235091167	7	21	10	3	14	5.01063529409626
vir_1412	7	35	2.94443897916644	2.39789527279837	11	3	5	5	3	7	9	9	5	7	7	1	1	53	21	2.00148000021012	2.94968833505258	4.47733681447821	4.56434819146784	2.49320545260270	7	20	8	3	10	5.07517381523383
vir_1413	8	33	2.99573227355399	2.39789527279837	8	3	7	5	3	7	7	9	3	7	7	1	2	55	19	1.93152141160321	2.78501124223834	4.21950770517611	4.38202663467388	2.45958884180371	7	20	9	3	10	5.19295685089021
vir_1417	8	39	2.63905732961526	2.30258509299405	12	3	3	5	5	3	9	7	5	7	5	2	2	65	25	3.13113691056019	2.88480071284671	3.98898404656427	4.35670882668959	2.86220088092947	5	25	13	3	10	5.84354441703136
vir_1423	8	34	2.94443897916644	2.39789527279837	7	3	7	5	5	7	9	7	5	7	5	1	2	50	23	2.26176309847379	2.62466859216316	3.87120101090789	3.95124371858143	2.14006616349627	7	19	8	3	10	5.16478597392351
vir_1583	8	34	2.94443897916644	2.30258509299405	11	3	7	3	5	7	5	5	3	7	5	2	2	53	25	1.91692261218206	1.79175946922806	3.21887582486820	3.58351893845611	1.58923520511658	7	18	9	3	10	5.07517381523383
vir_1584	7	34	2.99573227355399	2.48490664978800	12	3	7	3	5	7	9	5	3	7	5	2	2	56	25	1.72276659774110	2.16332302566054	3.66356164612965	3.97029191355212	1.80828877117927	7	18	9	3	10	4.90527477843843
vir_1586	8	36	2.89037175789616	2.39789527279837	11	3	7	5	5	7	9	9	5	7	5	1	2	60	21	2.39789527279837	3.25037449192757	4.77912349311153	4.82028156560504	2.87356463957978	7	20	9	3	10	5.01063529409626
vir_2178	9	23	2.77258872223978	2.70805020110221	10	3	7	3	3	7	9	5	5	7	5	1	1	50	18	1.30833281965018	2.58776403522771	3.91202300542815	4.02535169073515	2.10413415427021	7	17	8	3	10	5.13579843705026
vir_3036	8	39	3.04452243772342	2.63905732961526	11	1	3	5	5	3	7	9	5	7	5	1	2	50	23	2.63188884013665	2.21920348405499	4.58496747867057	4.63472898822964	2.95491027903374	7	22	11	3	1	5.19295685089021
vir_3461	8	39	3.04452243772342	2.63905732961526	11	1	3	3	5	3	7	9	5	7	5	2	2	53	23	2.56494935746154	3.02042488614436	4.04305126783455	4.20469261939097	2.40694510831829	7	25	11	5	1	5.37063802812766
vir_3587	8	39	3.17805383034795	2.89037175789616	12	1	3	5	5	3	9	9	5	7	5	2	2	70	27	3.69137633431252	3.20680324363393	4.71849887129509	4.64439089914137	3.38439026334577	7	20	10	3	1	5.61677109766657
vir_0002	8	32	3.09104245335832	2.48490664978800	13	3	5	3	3	7	9	9	5	7	5	2	2	56	23	2.23001440015921	2.66025953726586	4.02535169073515	4.35670882668959	2.27212588550934	7	20	9	3	14	4.90527477843843
