Sample	LeafShape	FlowCol	FluffCol	FlowGroup	Height	GrowthType	Polegaemost	GermBMatur	MaturType	PodShat	Yield	Protein	Oil	Productivity
V_215	2	1	0	3	62.5	1	0	102	3	30	11	43	22.4	121
V_216	1	1	2	3	57.5	1	0	106	3	30	14.9	44.4	21.8	164
V_217	1	1	0	3.5	77.5	1	0	107	3	5	15.1	42	22.3	167
V_218	1	1	2	3	82.5	0	0	107	3	40	10.2	38.9	22.9	113
V_219	1	1	2	3	67.5	1	0	110	3	5	14.7	43	20.7	162
V_220	1	1	2	3	62.5	0.5	0	113	4	15	15.8	41	22.2	173
V_221	1	1	2	2	72.5	0.5	0	114	4	40	13.3	38	23	147
V_222	1	1	2	3	72.5	0.5	0	116	4	5	19.2	41.2	21.1	211
V_223	1	1	2	4	77.5	1	0	114	4	5	16.5	41.9	19.4	181
V_224	1	1	2	3	57.5	1	0	111	4	15	12.6	42.2	21.3	138
V_225	1	1	2	3	57.5	1	0	113	4	20	10.8	44.5	20	119
V_226	1	1	2	3	77.5	0.5	0	111	4	5	17.5	40.2	21.1	192
V_227	1	1	0	3	115	0	0.5	113	4	5	20.3	39.5	23	223
V_228	1	0	0	3	87.5	0.5	0	110	3	15	17.2	40.6	23	189
V_229	1	1	2	3	87.5	0	0	114	4	0	19.3	40.2	21.9	212
V_230	1	0	0	5	82.5	0.5	0	118	4	0	15.2	38.6	22	167
V_231	1	1	0	4	82.5	0	0	118	4	5	20.1	39.4	22.5	221
V_232	1	0	2	4	105	0	0	116	4	10	17.4	39.1	22.3	192
V_233	1	1	2	4	77.5	0.5	0	109	3	5	23.9	40.8	22	263
V_234	1	1	2	4	67.5	1	0	118	4	5	15.1	42.3	19.9	166
V_235	1	1	2	3.5	72.5	0.5	0	114	4	10	16.3	40	21.9	179
V_236	1	1	0	4	72.5	0.5	0	115	4	5	19.2	39.3	22.7	211
V_237	1	1	2	4	72.5	0	0	115	4	15	20.2	40.7	21.6	222
V_238	1	0	1	4	77.5	0	0	113	4	25	16.3	43.9	21.1	179
V_239	1	1	2	5	77.5	0.5	0	123	5	0	4.7	38.2	17.1	52
V_240	1	1	2	5	87.5	0.5	0	133	5	0	8.1	41.6	19.6	89
V_241	1	0	0	3.5	87.5	0.5	0	120	4	5	14.4	40.5	20.7	159
V_242	1	1	0	5	67.5	0.5	0	118	4	0	19.3	40.1	21.9	213
V_243	1	1	0	4	77.5	0.5	0	118	4	0	13.7	39.4	21.3	150
V_244	1	1	2	3.5	92.5	0	1	131	5	0	12.6	39.2	21.8	139
V_245	1	1	0	5	77.5	0	0	121	5	0	12	39.6	22	132
V_246	2	0	0	4	72.5	1	0	125	5	0	12.4	40	21.2	136
V_247	1	1	2	4.5	77.5	0.5	0	133	5	0	6.6	44.9	19.8	73
