	LeafShape	FlowCol	FluffCol	FlowGroup	Height	GrowthType	Polegaemost	GermBMatur	MaturType	PodShat	Yield	Protein	Oil	Productivity	ilr1	ilr2
V_157	1	1	2	3	77.5	0.5	0	104	3	20	19.8	42.2	21.4	218	0.480146221957261	-0.156492350027182
V_158	1	0	0	3	105	0	0.5	102	3	10	23.5	38.2	22.7	259	0.36802828439278	-0.23149494524458
V_159	1	1	0	3	62.5	0.5	0	106	3	15	20	40.5	22.2	220	0.425119445344174	-0.178238096973104
V_160	1	1	0	4	82.5	0.5	0	116	4	0	23.1	40.5	21.7	254	0.441227357853226	-0.198410290152905
V_161	1	1	0	3	77.5	0.5	0	106	3	5	20	42.4	22.2	220	0.457537737280568	-0.11683371608576
V_162	1	0	0	3	62.5	0.5	0	108	3	5	25.9	39.8	22.7	285	0.397041863225251	-0.180629468026372
V_163	1	1	0	3	57.5	1	0	108	3	5	21.9	39	23.7	241	0.352200411055849	-0.166953121658777
V_164	1	0	0	3.5	105	0	0.5	112	4	10	18.7	38.1	23	206	0.356890981413422	-0.223017877415684
V_165	1	1	0	3	77.5	1	0	108	3	5	33	39	23.5	362	0.358192877269192	-0.174779175921973
V_166	1	1	0	3.5	102.5	0.5	0	113	4	5	28.3	37.9	22.5	311	0.36871079216849	-0.248701517129006
V_167	1	1	1	3.5	102.5	0	0	112	4	10	22.4	37.9	22.7	246	0.362453169195243	-0.240954508085189
V_168	1	1	1	4	82.5	0.5	0	111	4	50	10.2	43.4	22.1	112	0.477213520318797	-0.0881332935075982
V_169	1	1	1	4.5	87.5	0	0	116	4	5	21.1	42.2	20.9	232	0.496863472934099	-0.177283339666824
V_170	1	1	2	3.5	82.5	0.5	0	111	4	15	17.2	43.2	20.2	189	0.537512799387482	-0.174964350195832
V_171	1	1	0	3.5	102.5	0	0	115	4	5	23.7	39.8	20.9	260	0.455460031254951	-0.252637500651927
V_172	1	1	0	3.5	57.5	1	0	115	4	5	22.2	37.1	22.5	245	0.353625275353624	-0.273741620305204
V_173	1	1	0	4.5	105	0	0	123	5	0	10	40.2	20.2	110	0.486619849736853	-0.26867172578603
V_174	1	1	0	4	105	0.5	0	123	5	5	19.2	38.3	21.5	211	0.408281306597069	-0.275253718418781
V_175	1	1	0	4.5	77.5	0.5	0	123	5	0	16.5	41.3	20.8	181	0.485011268106308	-0.209875031735541
V_176	1	1	0	4.5	77.5	1	0	118	4	5	17.7	42.1	21.2	195	0.485108174085929	-0.167996044468912
V_177	2	0	0	3	77.5	0	0	116	4	5	27.5	39.8	21.7	302	0.428898907408411	-0.220510133321462
V_178	1	1	0	5	87.5	1	0	133	5	0	11.6	42	19.1	128	0.557186908820565	-0.259086836261564
V_179	1	1	1	3.5	107.5	0	0	123	5	5	18.9	35.4	24.3	208	0.266038652013696	-0.259447817363363
V_180	1	1	2	5	77.5	1	0	133	5	0	8.1	39.6	18.3	89	0.545835564692039	-0.365123106109706
V_181	1	1	2	5	62.5	1	0	131	5	0	10	40.6	20.4	110	0.486654338544625	-0.248141608509376
